family,capacity,tie_policy,seed,misses,miss_ratio,delta_vs_LRU,delta_vs_current_exact,trace_sha256,fraction_tied_decisions,fraction_all_tied,mean_optimal_set_fraction
metakv,32,LRU_WITHIN_MINIMA,,30568,0.7642,-1,-124,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.88824914943732,0.9962920783171945
metakv,32,MRU_WITHIN_MINIMA,,30796,0.7699,227,104,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.9029744122613327,0.996870535134433
metakv,32,RANDOM_WITHIN_MINIMA,0,30573,0.764325,4,-119,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8884309685016191,0.9963039283027508
metakv,32,RANDOM_WITHIN_MINIMA,1,30590,0.76475,21,-102,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8894736842105263,0.9963417374959137
metakv,32,RANDOM_WITHIN_MINIMA,2,30587,0.764675,18,-105,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8895936182038121,0.9963454653937948
metakv,32,RANDOM_WITHIN_MINIMA,3,30583,0.764575,14,-109,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8891868031259196,0.9963296602687768
metakv,32,RANDOM_WITHIN_MINIMA,4,30583,0.764575,14,-109,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8892195010299839,0.9963327256972828
metakv,64,LRU_REFERENCE,,30552,0.7638,0,-102,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,,,
metakv,64,CURRENT_DETERMINISTIC,,30654,0.76635,102,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8929666601422327,0.9982424805898088
metakv,64,LRU_WITHIN_MINIMA,,30552,0.7638,0,-102,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8869141136423148,0.9981215427795235
metakv,64,MRU_WITHIN_MINIMA,,30786,0.76965,234,132,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.9020333918014682,0.998419025693497
metakv,64,RANDOM_WITHIN_MINIMA,0,30563,0.764075,11,-91,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8880018322808625,0.998139089749043
metakv,64,RANDOM_WITHIN_MINIMA,1,30566,0.76415,14,-88,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8879146764378721,0.9981397835830661
metakv,64,RANDOM_WITHIN_MINIMA,2,30564,0.7641,12,-90,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8875801596649653,0.9981371057453213
metakv,64,RANDOM_WITHIN_MINIMA,3,30568,0.7642,16,-86,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8884127191834599,0.9981470614695106
metakv,64,RANDOM_WITHIN_MINIMA,4,30560,0.764,8,-94,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.887434554973822,0.9981332828861257
metakv,128,LRU_REFERENCE,,30539,0.763475,0,-59,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,,,
metakv,128,CURRENT_DETERMINISTIC,,30598,0.76495,59,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8885874893783907,0.999080056294529
metakv,128,LRU_WITHIN_MINIMA,,30539,0.763475,0,-59,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8859818592619274,0.9990511620387046
metakv,128,MRU_WITHIN_MINIMA,,30765,0.769125,226,167,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.900178774581505,0.9991937367950593
