capacity,delta_vs_lru,diagnostics_count,held_out_family,miss_ratio,misses,model_sha256,objective,seed,trace_sha256,validation_mean_regret,victim_sequence_sha256
32,,0,metakv,0.7662,30648,a7efa9d3fd56117b03b52553ecaf4ad81c2c2dab99f1a09d03621e49eaaa9a9e,objective_reuse_distance,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,c6c781b03c3f2a3a9f295034de112c57b322d665037b3a779e651aa6450cd3b5
32,,0,metakv,0.764225,30569,7155b5843edd35b2a8d21a6de6d64c7fec89501ecd3848c0b3cb2ee011725540,objective_pairwise,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,cb8a46a0ce3b4c133fa0f7f94eb2b64aee049d149d50792c2c720b8a93958e4b
64,,0,metakv,0.76385,30554,536f4b2ff0c37dc970a3b27d3f7515a8b8932ae3158644838e277c81b204cea3,objective_eviction_loss,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,af351739b7e4666c768bb49d1b35d11b75743c9634b844b0019b0e75396510a5
64,,0,metakv,0.764675,30587,faac623b9473f594caeeb65e0a35a5b306614513474085a05508b05e2feaafbe,objective_next_arrival,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,514e5b97f00c8ad3c9bdd4c03d5299295ba6ba74c8163148ff608879402e0ffa
64,,0,metakv,0.76395,30558,9101257eb4e9f808706acbcf8f726e553420ec2f1860ebe5c550e9eeee6b77fb,objective_reuse_distance,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,5da80893e81d2d5fc372eb86ce6bb18c6147321d6c3251a8073506b1bc654dde
64,,0,metakv,0.763825,30553,eef585a265e2ee03e28d6344619f29bb60f869dccb1b7d5d05a3fa585221b259,objective_pairwise,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,7d7df4630ad0284a6187967ae7e7e956b860bac1e82029d10e0e0d453cb74b7e
128,,0,metakv,0.76305,30522,d1750b756292a1e2ed6adbc3717c4947d7427c27cba8a718e8ab02e28d7e0b6b,objective_eviction_loss,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,580b10b8a8a4ff5544d99e50f9f42187bf6bede5db9550a7455da284b1532308
128,,0,metakv,0.78185,31274,1676bd130a838097dd87ad285cc835d0ea91d3d627b37833b8ef14d0031b6f54,objective_next_arrival,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,d5cbe3bd50133a896988014263c125291cb337a94979109f5eb61540cff22ad9
128,,0,metakv,0.77645,31058,a696c2ea5ee2bc1cc0c93e14f400b09b8fccb0a73b81fbcaea4ab1a75d3a1aea,objective_reuse_distance,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,679dd247e8e73e7898cfabf823bf4373c6c6923a498d59e8d3f7470700711dc2
128,,0,metakv,0.763475,30539,28e3adf48773b7bc1202e6c5e3f729615f9fbfb31551529a44298c9cd7def640,objective_pairwise,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,ede0b91101f46c49d1d26157240e876e2ca2469324b1dfeb50602ae78038fd0c
